variant,trainable_parameter_pct,clean_mean_r_at_1,ood_mean_r_at_1,ood_mean_retention,ood_worst_retention,ece,correctness_nll,cka_vs_base,mean_cosine_drift,linear_probe_accuracy
base,0.0,0.8561197916666666,0.7530254289215687,0.8795094107698674,0.4102973280016736,0.7261235472663733,1.7374357967424703,1.0,0.0,0.7864583333333334
lora-r8,0.1318076283325224,0.84765625,0.7496553308823529,0.8843144035623102,0.41133696838623823,0.676321436437623,1.5221715601106276,0.9994770114677191,0.0025370560973861475,0.7864583333333334
lora-r16,0.2636152566650448,0.8470052083333334,0.7455575980392156,0.880194825718456,0.4162010368734248,0.6445909225294599,1.3936053989830675,0.9983705245222411,0.008515457602293112,0.7864583333333334
lora-r8-hard-negative,0.1318076283325224,0.84765625,0.7504978553921569,0.8853184493322902,0.4128380528680788,0.6805423523813564,1.5374527848941433,0.9995434982921705,0.0020399471638070025,0.7864583333333334
