variant,trainable_parameter_pct,clean_mean_r_at_1,ood_mean_r_at_1,ood_mean_retention,ood_worst_retention,ece,correctness_nll,retrieval_nll,cka_vs_base,mean_cosine_drift,linear_probe_accuracy,class_separation,anisotropy
base,0.0,0.95625,0.9162499999999999,0.958169934640523,0.7843137254901961,0.6370641500689088,1.134333529829544,1.1683986857533455,1.0,0.0,1.0,-0.22853610018952164,0.41490617283588915
lora-r8,0.1318076283325224,0.9375,0.9125,0.9733333333333334,0.8,0.6059276936575771,1.0442831148082128,1.108654472231865,0.9999529021084524,0.00030036289881503334,1.0,-0.22622610283121541,0.39830288723689655
lora-r16,0.2636152566650448,0.9437500000000001,0.9145833333333333,0.9690949227373068,0.8079470198675496,0.5912217879667879,1.004610171150992,1.0673409659415483,0.9998495727563471,0.00086188160328943,1.0,-0.2236897329270488,0.38665807789319023
lora-r8-hard-negative,0.1318076283325224,0.95,0.9154166666666667,0.9635964912280701,0.7894736842105263,0.6170373238623141,1.0767185611215815,1.1096513617783785,0.9999563440733051,0.00027497305954569116,1.0,-0.22647220238553034,0.3988671447012042
